category,description,id,parkCode,title,url
Park Closure,"East Elk Creek will be closed to ALL entry through June 30, 2020 for the protection of sensitive natural resources during the spring months. This closure is for the entire area and applies to all uses, including walking.",8B290CDE-CD78-8D84-A351D24D6E73D7E7,cure,East Elk Creek Road Closed,
Park Closure,East Elk Creek and Red Creek Group Campgrounds will remain closed tor the summer to comply with Gunnison County public health orders regarding group sizes. Cimarron Campground is closed for water line repairs.,CA021468-9428-B2C5-3EE6CDE2587DD156,cure,"East Elk Creek, Red Creek and Cimarron Campgrounds Closed for Summer",
Information,"Drinking water is unavailable in the Brandywine Falls area, as well as in most locations.",6FEC226E-B37C-A8EB-1AD9FCACD3D5DD81,cuva,Brandywine Falls - Drinking Water Unavailable,
Park Closure,"Railroad tracks, river and trail near river closed during Brecksville Dam removal. Paddlers must portage using the Towpath Trail on the east side of the river. Through travel on Towpath Trail is open.",71416439-05B1-B258-777CD517429DEC67,cuva,Station Road Bridge Area,https://www.nps.gov/cuva/learn/news/brecksville-dam-removal-underway.htm
Park Closure,"CLOSED: Boston Mill Visitor Center, some restrooms (portable toilets available). There may be other closures, call the closure hotline before visiting 440-546-5960. NO DRINKING WATER AVAILABLE IN THE PARK.",5387FBAE-FD09-D045-C126E91B2B85D35F,cuva,Coronavirus (COVID-19) Temporary Closures,https://www.nps.gov/cuva/national-park-service-and-coronavirus.htm
Caution,A significant woody debris hazard exists near a set of metal pylons and timber groynes just upstream from the Lock 39/Rockside Rd. access. At medium/low flow portage on river right. This hazard is currently unnavigable. Do not attempt to paddle through.,5507BDBC-F968-29C6-828EB31C2FBD5BC8,cuva,Paddling Hazard Upstream from Lock 39/Rockside Road,https://www.nps.gov/cuva/planyourvisit/canoeing.htm
Park Closure,"Parking and overflow parking are closed until further notice, due to safety concerns.",9AE171B3-0B56-C7BB-4DBCD964B6501A73,cuva,Blue Hen Falls Parking Closed,https://www.nps.gov/cuva/learn/management/upload/2020-Compendium-with-signature_Final.pdf
Park Closure,"Park in the overflow lot for Towpath access, or in the new Boston Mill Visitor Center lot. There are a few spots for limited mobility in the Boston Store lot.",A267CDEF-C3BD-77AF-752814C29869101B,cuva,Boston Store Parking Lot Reduced,
Information,Parking lots and popular destinations are crowded especially on summer weekends.,A75B766B-A898-C6C6-E9F1A50E6332B5BE,cuva,Expect Crowding,
Danger,"Do not climb Brandywine Falls, the rocks, or over the fences. There is a 50 ft closure at both the top and bottom of the falls. Entering closed areas could result in serious injury or death. The Gorge Trail is open and accessible via the Stanford Trail.",C6DED69B-036E-5963-1585647D4403254F,cuva,Brandywine Falls Safety Alert,
Information,"Click ""more"" to find out if the East Rim Trail is open for today. In good conditions trail is open 6:00 a.m. - 11:00 p.m. for bikers and as posted for other trail users. In wet or hazardous conditions, the trail will close to all users to prevent damage.",DEA59584-1DD8-B71B-0B30955F6CFA97DF,cuva,Current East Rim Trail Status,https://twitter.com/cvnpmtb
Park Closure,"Valley Bridle Trail south of SR 303, across from former golf course, is collapsed by the river.",E33C7ADF-0F3B-C2B3-01C2052953DAA5D5,cuva,Bridle Trail,
Park Closure,"The railroad tracks and 30-foot right-of-way on either side are closed to all pedestrian traffic, from the Route 82 Bridge at Station Road visitor use area north to the Fitzwater Train Yard.",E9C27D83-D4AA-F1EE-5C38678CCF437109,cuva,"Eagle Closure: February 10 to July 31, 2020",https://www.nps.gov/cuva/learn/news/section-of-railroad-tracks-closed-to-pedestrians-for-eagle-nesting.htm
Information,"As a public health precaution, some facilities in Rock Creek Park are temporarily closed for the safety of staff and visitors. 

Updates will be posted to the park website, www.nps.gov/cwdw and on Facebook: @CWDWNPS

Info: 202-895-6000",5511FD27-E576-8EB9-75F2DF48FAAC292F,cwdw,Battery Kemble Park Parking Area Closed Until Further Notice,
Information,"Following guidance from the CDC and recommendations from D.C. Public Health in consultation with NPS Public Health Service officers, the Civil War Defenses of Washington public programs (special events, hikes, lectures) are canceled as of March 16, 2020.",1EC6BD42-CB06-F1DB-57B67D0EF2D3C3F5,cwdw,CWDW Public Programs Canceled,https://www.nps.gov/aboutus/news/public-health-update.htm
Park Closure,Huffman Prairie Flying Field INTERPRETIVE CENTER is closed and will remain closed until further notice.  The exterior green spaces remain open to the public during daylight hours. Huffman Prairie FLYING FIELD will remain OPEN to the public.,22BEDCA7-BA45-6D6B-2AB6F70D870CBF5E,daav,Huffman Prairie Flying Field INTERPRETIVE CENTER is CLOSED,https://www.nps.gov/daav/learn/news/dayton-aviation-heritage-national-historical-park-is-modifying-operations-to-implement-latest-health-guidance.htm
Park Closure,The Wright Dunbar Interpretive Center and the Wright Cycle Company Bike Shop are CLOSED to the public as of 03/18/2020.  These closures will remain in effect until further notice.  We apologize for any inconveniences this may cause.,22DDA07E-FC8F-35B1-FDC42B64AE49169E,daav,Wright Dunbar Interpretive Center & the Wright Cycle Co. Bike Shop are CLOSED,https://www.nps.gov/daav/learn/news/dayton-aviation-heritage-national-historical-park-is-modifying-operations-to-implement-latest-health-guidance.htm
Information,The Third Street Bridge is closed until October 2021. This will affect traffic heading to the park from all points north on I-75. Detour posted in the Directions section. Visit Montgomery County's Engineer for complete info on the Third St. bridge closure,4689DBA4-C970-E5ED-DF02E58D5CEC5C43,daav,Third Street Bridge Closure over Great Miami River,https://www.mcohio.org/government/elected_officials/engineer/third_street_bridge.php
Park Closure,"As of Saturday, March 14th, the Paul Laurence Dunbar House will be closed until further direction from the Ohio History Connection out of care for the health of site visitors, volunteers, staff and the community at large.",E8B88DEC-EA28-4B5B-87617C79ABDEFF44,daav,Paul Laurence Dunbar House Historic Site is CLOSED,https://www.ohiohistory.org/
Park Closure,"Please check our phased reopening plan to understand which services (including buses) and facilities are closed, which are open but with different hours than normal, and which are unaffected.",1CFA1EB8-B42E-1BF1-475F2BAE3D9489E2,dena,Changed Hours & Some Closures During COVID-19 Pandemic,https://www.nps.gov/dena/planyourvisit/conditions.htm
Information,"Permits to camp in the backcountry are available via email. Backpackers must provide their own bear-resistant food containers, which are required beginning on April 15. Please contact us to learn more.",C4880122-E303-604B-17AE43024487C8DA,dena,Backpacking Permits,https://www.nps.gov/dena/planyourvisit/backcountry.htm
Park Closure,"Following guidance from the CDC and state and local public health authorities, the ESTA shuttle is not operating in 2020. The road to Devils Postpile opens on June 26. The road will be open when parking is available, but closed when parking is full.",7F8FF97E-9ADE-8B1F-D4091B214555651F,depo,Phased Reopening: Shuttle to Devils Postpile is not operating in 2020 due to COVID-19,
Park Closure,Estamos trabajando para aumentar el acceso al parque en un enfoque gradual. El estacionamiento y los senderos de De Soto National Memorial están abiertos. El centro de visitantes y las instalaciones del baño permanecen cerrados.,2C4AFEEB-BE9D-6611-206DC6B2BEA0A6AB,deso,Reapertura por fases: algunas ubicaciones cerraron debido a COVID-19,https://www.nps.gov/deso/learn/news/newsreleases.htm
Park Closure,We are working to increase access to the park in a phased approach. De Soto National Memorial's parking lot and nature trails are open. The Visitor Center and restroom facilities remain closed. ,2BFB8981-F3AC-6D99-AA8B037AD230196B,deso, Phased reopening – some locations closed due to COVID-19,https://www.nps.gov/deso/learn/news/newsreleases.htm
Information,"Each year, a voluntary climbing closure is in effect June 1 - 30 to respect American Indian cultural values associated with the Tower site. The Tower Trail is open to hiking. Please stay on the trail.",6FF06F17-EEC9-EEC7-4318CDE06F569CE2,deto,June Voluntary Climbing Closure,https://www.nps.gov/deto/planyourvisit/currentclimbingclosures.htm
Park Closure,"The upper two miles of the park road will be closed to oversized vehicles from June 24 - 26. Parking lots will be closed to allow for paving to take place. RV's, buses, and vehicles will only have access to the first mile of park road.",AAEC919F-A683-8857-83D944E766680E96,deto,Upper 2 miles of park road closed to trailers and oversized vehicles June 24-26,https://www.nps.gov/deto/learn/news/newsreleases.htm
Park Closure,"Following guidance from the White House, CDC, and state and local public health authorities, Devils Tower reopened park roads, trails, rock climbing, and the picnic area on Friday, May 22. The visitor center and campground are still closed.",A2AEA966-C80A-6346-9DC5F6E202A04296,deto,Visitor center and campground remain closed. Park roads and trails are open.,
Information,Specific climbing routes on the Tower are currently closed to protect nesting falcons. The closure may be modified throughout the summer based on nesting behavior. See closure details by clicking the link below.,ED56644D-155D-451F-675C09C4C58A09E5,deto,Climbing Routes Temporarily Closed to Protect Nesting Falcons,https://www.nps.gov/deto/planyourvisit/currentclimbingclosures.htm
Information,"To limit the spread of COVID-19, only car testing permits are available. All other permits suspended, including CUAs and SUPs: transportation, commercial activity, guiding, film, events, and research permits. Please send questions to DEVA_permits@nps.gov.",B7351E74-CA76-0B30-7631CED54DFC191D,deva,Permits Limited,
Danger,"Expect high temperatures of 110°F to 120°F+ (43°C to 49°C+). Drink plenty of water and carry extra. Avoid hiking (after 10 am). Travel prepared to survive. In the case of a heat related illness, get to a cool place and seek help as soon as possible.",4B7FCE32-155D-4519-3E8D83AC7E6A4AB2,deva,EXTREME SUMMER HEAT,https://www.nps.gov/deva/planyourvisit/safety.htm
Park Closure,"The park is moving to Phase 3.1 and working to open trail heads, overlooks, and bathrooms along CA-190 and Daylight Pass roads. All other park roads remain closed to vehicle traffic.",2780C633-B348-3C1E-7D11C5C205301157,deva,Death Valley National Park is partially open,https://www.nps.gov/deva/planyourvisit/conditions.htm
Information,"Flooding in Grapevine Canyon from a severe thunderstorm has destroyed the road to Scotty's Castle, damaged infrastructure and some out-buildings in the Castle complex.",104C7082-C671-1015-A61C050298D26588,deva,Scotty's Castle CLOSED until fall 2021.,https://www.nps.gov/deva/learn/nature/flood-2015.htm
Caution,Know Before You Go: Emergency and maintenance services are limited. All buildings and some bathrooms are closed. Pack in and pack out all trash. Avoid crowded trailheads.,2616D6A6-CB39-5C5A-551F6681D74C063C,dewa,Limited Services Available,
Information,"Parking for trails to Mt. Tammany,Mt. Minsi, Raymondkill Falls, Dingmans Falls, Hackers Falls, and Buttermilk Falls are usually full by 9:00 am on Saturday and Sunday. Avoid crowded trailheads by hking early, on weekdays, of choosing a less popular trail.",AB0F5633-0640-0D2B-3EBB6CE2D1902DF4,dewa,Parking Lots Full on Weekends,
Park Closure,"Many public facilitates, including some restrooms, remain temporarily closed. Click on ""more"" for a current list of closures.",E3665083-A8A7-4531-B61A9426F34B0583,dewa,Temporary Closure of Park Facilities,https://www.nps.gov/dewa/planyourvisit/conditions.htm
Park Closure,"We are working to increase access to the monument in a phased approach. Visitor Centers and the Dinosaur Quarry Exhibit Hall are still closed. Roads, trails, and campgrounds are open. River trips and permitted backcountry camping have resumed.",03A3A74A-A976-8B63-FA28E6F75AFF0E74,dino,Phased Reopening - some facilities and areas closed due to COVID-19,https://www.nps.gov/dino/planyourvisit/conditions.htm
Information,The ferry boat and sea plane concessions have resumed their operations with modifications for public health. Check individual company websites for schedules and reservations.,000D151A-EEF1-BF5A-8AA94BBAD2C34208,drto,Ferry boat and sea plane concessions have resumed tours and services,https://www.nps.gov/drto/planyourvisit/guidedtours.htm
Park Closure,We are increasing access to the park in a phased approach. Concession tours to the park have resumed. Campground has reopened. Garden and Loggerhead Keys are open from sunrise to sunset. Marine waters and harbors remain open. Entrance fees apply.,6633D594-989B-5AF5-B856104C39424333,drto,Phased reopening – some facilities closed due to COVID-19 ,https://www.nps.gov/drto/learn/news/ferry-boat-and-sea-plane-tours-resume-and-campground-reopens.htm
Caution,Vessel operators - the Garden Key Harbor Light is undergoing repairs and is extinguished. At this time it is unknown when the light will again be illuminated.,7256F443-1DD8-B71B-0B184A8DD43C605C,drto,Garden Key Harbor Light,
Caution,"Waters have not been fully inspected, hazards may exist. The park has limited emergency response capabilities. Users of mooring buoys assume all risk. Some park areas remain closed to the public.",E76B9C2F-1DD8-B71B-0B5F23E6B54AF33C,drto,"Marine Waters Are Open, Extreme Caution Advised",
Caution,"The Windjammer dive site mooring ball (SW of Loggerhead Key) has been damaged and is off-station. Please call ""National Park Service, Dry Tortugas"" on vhf16 when within the national park for latest information on availability of this dive site.",F0227532-F2FC-C5DD-EF793655A46D36F1,drto,Damage to Windjammer Dive Site Mooring Ball,
Park Closure,"NPS trails in Ebey's Reserve are open, with the Bluff Trail operating as a one-way loop (counterclockwise) across NPS and Nature Conservancy land. The restroom at the Pratt Trailhead is OPEN.  The Trust Board office & Ebey House remain closed TFN.",86E51135-EB4A-32E3-54BC85DC1923A950,ebla,Updated information about COVID-19 closures of NPS areas in Ebey's Reserve:,
Park Closure,NPS areas in the Reserve not affected by closures:  Agricultural access to NPS lands; farm operations under Special Use Permit; Prairie Wayside; NPS Reuble office; Prairie Overlook parking area is open according to public health guidelines.,5394A76A-FDDF-C92F-648DC94FB4A5C5F3,ebla,Additional information about COVID-19 closures of NPS areas in Ebey's Reserve:,
Information,"Until further notice, visitors are advised to phone the site directly at 215-597-1061 during business hours, Friday through Sunday.  From Monday through Thursday, direct questions to the Independence Visitor Center at 215-965-2305.",A083C43C-A26D-73CF-AFF8E47839F6F07E,edal,"December 21, 2019: Phone issues",
Park Closure,"Following guidance from the CDC and other authorities in consultation with NPS Public Health Officers, the Edgar Allan Poe NHS is temporarily closed as of March 20. Updates will be posted to the park website, and on Twitter and Facebook: @IndependenceNHP.",F483E1C6-CF83-ACB1-B73FC54A0C0B2420,edal,Edgar Allan Poe National Historic Site is Closed,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health authorities in consultation with NPS Public Health Service officers, Thomas Edison NHP is temporarily closed.",233E6067-E962-DAC3-8D54717E730DE934,edis,Thomas Edison is Temporarily Closed,
Park Closure,The Effigy Mounds National Monument Visitor Center and facilities remain closed as the park trails reopen.,61B102BC-EB44-690B-E602ED6368B99231,efmo,Effigy Mounds National Monument Visitor Center Closed; Park Trails Open,https://www.nps.gov/efmo/learn/news/trails-re-open-friday-may-22-2020.htm
Park Closure,"Eisenhower National Historic Site is working servicewide with federal, state, and local public health authorities to closely monitor the COVID-19 pandemic and using a phased approach to increase access. Currently, all facilities at Eisenhower are closed.",16470611-95C7-0D0F-505EA2B01AFE9EB0,eise,Eisenhower NHS Buildings Are Closed,https://www.nps.gov/gett/learn/news/covid-19-update-yellow-phase.htm
Park Closure,The Statue of Liberty National Monument and Ellis Island are temporarily closed effective immediately in response to the COVID-19 virus outbreak. Ticket refund info 877- 523- 9849 www.statuecruises.com/refunds,15D685B2-FA92-0CC7-97F5F753E4DA0CC8,elis,Temporary Park Closure - COVID-19 Virus,https://www.nps.gov/aboutus/news/public-health-update.htm
Information,"Due to increased fire danger in the region, the following are PROHIBITED within El Malpais:  smoking, welding, fireworks, use of firearms, and campfires (liquid petroleum or LPG fueled cookstoves and lanterns are allowed).",6F9F98FA-FF2F-F32A-31B0A0748462D6EF,elma,"Stage II Fire Restrictions within El Malpais--June 1, 2020",
Park Closure,"Following guidance from the CDC, state, and local authorities, the trails and restrooms at El Malpais Nat. Monument will reopen June 1. This will include Sandstone Bluffs Overlook, but the Visitor Center remains closed.",8C0325B1-D532-F533-333E4D0FADF44A57,elma,"El Malpais Nat. Monument Trails Open on June 1, 2020",https://www.nps.gov/elma/learn/news/phased-reopening-plan-2020.htm
Information,"The El Malpais NM Information Center, Located on Highway 53 south of Grants, is closed. Please visit the El Malpais Visitor Center, located south of Exit 85 off Interstate 40 for all inquiries. The address is 1900 E. Santa Fe Ave. Grants, NM 87020.",EE873F14-D0D9-FB8F-21AAD55D9357D1BD,elma,El Malpais Information Center Closed - Please Visit El Malpais Visitor Center,
Information,"Due to increased fire danger in the region, the following are PROHIBITED within El Morro National Monument: smoking (outside your vehicle), fireworks, use of firearms, and campfires (liquid petroleum or LPG fueled cookstoves and lanterns are allowed).",B3A5D159-F7F4-F44E-C3C832152A5CFF18,elmo,Stage II Fire Restrictions at El Morro National Monument,
Park Closure,"The Visitor Center remains closed, but park trails are open Wed. - Sun. (closed on Mon. & Tues.). The campground is open on a first come first serve basis.",28E35295-FE48-7B58-2E66D0E7A371936A,elmo,Phased reopening - some locations closed due to COVID-19,
Park Closure,"All public buildings will be closed until further notice in accordance with CDC, state, and local public health guidance related to COVID-19.",EF92F440-D543-3215-E2299560F940A6DA,elro,Eleanor Roosevelt National Historic Site is temporarily closed as of March 17th,https://www.nps.gov/aboutus/news/public-health-update.htm
Information,"We are experiencing technical difficulties with our main phone. 
For information or to make a reservation, please call John Muir NHS at 925-228-8860 x6422.",A9649F0D-CCF6-D61E-E4CC1527FCD405DB,euon,Alternate Phone Number for Reservations,
Park Closure,"Due to the Contra Costa County Health Services Shelter-in-Place order, Eugene O'Neill National Historic Site is closed until further notice.",FAB977F1-9600-CE87-CA9723E146DB0B2B,euon,Temporary Park Closure,
Caution,Fire Management will be conducting a prescribed fire in the Boy Scout Camp of Everglades National Park just off Research Road today June 23rd 2020. Smoke may be seen from Main Park Road and Research Road throughout the day.,348DCBB6-1DD8-B71B-0B0AEEE5603D6B3D,ever,Prescribed Fire Operations,
Caution,Mariners should use extreme caution when transiting park waters. Repairs to ATONS and removal of submerged debris/uncharted wrecks will not be completed until Fall of 2020.,82A0C971-E107-8628-271CDC3184A66C42,ever,Numerous Aids to Navigation throughout Everglades National Park remain missing or damaged,
Information,"To protect visitors and employees and minimize the spread of COVID-19, cashless transactions are encouraged. Pre-paid digital passes and credit cards are accepted.",7AD8C461-E1EF-B516-E4A2E77965263D06,ever,"Entrance fees resume, digital passes preferred",https://www.nps.gov/ever/planyourvisit/fees.htm
Information,Wilderness (backcountry) campsites are open. Self-registration permits available outside of the Flamingo and Gulf Coast Visitor Centers.,F977D852-BC7F-9DAC-0B1948B8D7A7C47E,ever,Wilderness Camping,
Park Closure,We are working to increase access to the park in a phased approach. All areas of the park are now open. Concession-operated tours and services are open with modifications for public health. Visitor centers remain closed.,FED2EF78-A3D3-DC1A-9DF8B63D23DE5DE5,ever,Phased reopening - check status due to COVID-19,https://www.nps.gov/ever/learn/news/south-florida-national-parks-resume-commercial-operations.htm
Caution,The first 10 miles of the Main Park Road at the Homestead entrance is under construction while the road is repaved. Expect minimal delays and one-lane closures. Watch out for personnel along the roadside.,E82EEE32-9E9F-D205-D8775F82B588A91B,ever,Repaving section of Main Park Road,
Information,"On 1/10/20, the George Washington Bible will be temporarily removed from display due to building preservation work that may last for 8 months. Alternate tours and historic displays will be available during this period. We apologize for any inconvenience.",6C47E4A8-B1E3-2976-ED4A5399C29D79B3,feha,George Washington Inaugural Bible- Temporarily Removed From Display,
Information,"Please be advised that the rotunda of Federal Hall National Memorial will be closed for restoration for several months. During this time, visitors must enter through 15 Pine Street. We apologize for any inconvenience.",AF440B6E-CFEF-8818-E86907BF96BF7FF8,feha,Restoration Rotunda,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, Federal Hall National Memorial is temporarily closed. Read the press release here:",E8245558-A1FE-A340-9B4B5352A4F406A2,feha,Federal Hall is temporarily closed as of 3/16/20.,https://www.nps.gov/feha/learn/news/feha-operations-mod.htm
Information,"Following guidance from CDC, state and local public health authorities, and NPS Public Health Services to curb community spread of COVID-19, pedestrian access to Fire Island National Seashore from Robert Moses State Park is redirected to Field 5 beach.",4FC29FF9-04E6-5811-9E8E61F9915FD516,fiis,Temporary Pedestrian Redirect,http://www.nps.gov/fiis/planyourvisit/temporary-pedestrian-redirect.htm
Park Closure,"We are working to increase services and access to the park in a phased approach. Marinas and some public restrooms are open. Visitor Centers, Fire Island Lighthouse, and Park Headquarters remain temporarily closed.",32FB1834-A00B-D634-93E7D4B147DD107F,fiis,Phased Reopening - Some Facilities Closed Due to COVID-19,https://www.nps.gov/fiis/planyourvisit/phased-reopening.htm
Information,"Due to a structural fire, the Watch Hill restaurant and snack bar are closed. Watch Hill Marina will have full food & beverage services at the food truck and tent while the restaurant is closed.",3C9E2F4D-B922-AA5C-DEBC6889E4EF9063,fiis,Watch Hill Restaurant and Snack Bar Closed,
Information,Dogs/other pets (except for service animals) are not allowed in the wilderness or on any of Fire Island's federally owned oceanfront beaches from March 15 through Labor Day to help protect threatened and endangered beach-nesting shorebirds.,C71ACD00-155D-451F-67F055DA950B758D,fiis,Pet Restrictions in Effect March 15 through Labor Day,https://www.nps.gov/fiis/planyourvisit/pets.htm
Information,"The landing, launching, or operating of a drone on National Park Service lands is prohibited.",CB920422-1DD8-B71B-0B9242CB16D587F1,fiis,Drones Restricted,https://www.nps.gov/orgs/aviationprogram/unmanned-aircraft-systems.htm
Park Closure,"Following CDC guidance and the Ohio Dept of Health Director's stay at home directive, the Education and Research Center and Saxton House are temporarily closed. We invite visitors to enjoy the park grounds and to learn more by exploring our website.",24E01AD6-0EE1-5ED1-2C77EAD8592CFB09,fila,Home and Education and Research Center closed as of 3/17/2020,https://www.nps.gov/aboutus/news/public-health-update.htm
Park Closure,"We are working to increase access to the Monument in a phased approach. The main parking lot, picnic area, and easy access to outdoor exhibits and self guided trails are open 9 - 5.  The visitor center, exhibits, theater remain closed. Limited bathrooms.",B1675AEA-FADE-F60B-16054237B57FCD27,flfo,Phased reopening - some locations closed due to COVID - 19,https://www.nps.gov/flfo/learn/news/florissant-fossil-beds-is-beginning-to-increase-recreational-access-to-the-main-parking-lot-and-associated-outdoor-exhibits-and-self-guided-trails-on-june-8th.htm
Information,Currently eight of the 40 wind chimes are installed in the tower. Field testing of these prototype chimes is ongoing. We do not have a scheduled delivery date for the remainder of the chimes. (Updated June 2020),AFBBAC50-0AFA-D9C7-69D753E0B8F92DD7,flni,Tower of Voices,
Information,"Beginning Friday, June 19, the Visitor Center and restroom facilities will reopen. The Visitor Center will be open 9:00 am to 5:00 pm daily. The Memorial grounds are open sunrise to sunset",E85EF7C1-DA5E-8791-B5635DC7D21A2E0D,flni,"Visitor Center to reopen Friday, June 19",
Park Closure,The visitor center is closed until further notice. Ranger-led activities are suspended. Park maps are outside the visitor center and online. The park trails and limited restrooms are open. Pack out what you bring in.,2D67290C-FD35-A008-F53B0AB2E0559639,fobo,Fort Bowie Visitor Facilities Closed due to COVID 19,
Information,"Fire restrictions are in place for southeast Arizona parks.  It is fire season, be alert for smoke and report all possible fires immediately. Check our policies page for more information.",5EC1E581-9FFA-A289-2D470783717581F8,fobo,FIRE SEASON- RESTRICTIONS FOR SOUTHEAST ARIZONA PARKS,https://www.nps.gov/fobo/learn/management/fire-restrictions-for-southeast-arizona-parks-effective-may-15-2020.htm
Caution,"Summer season brings hot temperatures and monsoons. Bring water, snacks, and sun protection for your visit.  Check weather conditions before hiking. Severe lighting and flash floods can occur. When driving in the area, avoid flooded roadways.",CE7FBCBC-EE38-944F-B30A78E89D4B6FAB,fobo,Visit Safely in the Summer,
Information,"Due to a remodel of the library and office facilities, the Fort Davis NHS research library will be closed until further notice.  The estimated time of reopening is July 2020.",0C0DB31A-C4AF-4440-96785D0BE6E8AF54,foda,Research Library Closed,
Park Closure,"Fort Davis NHS visitor center, WNPA park store, and historic buildings are closed (Entry Fees are suspended temporarily). Trails, and all open spaces remain accessible. We encourage you to follow the President’s Coronavirus Guidelines for America.",1CA237FD-EE5A-BA12-C208EC6A6F0A427E,foda,Visitor Center and Park Store Closure,https://www.cdc.gov/coronavirus/2019-ncov/index.html
Information,"Beginning May 6, the park will increase access to its battlefield grounds and trails.  Access to Roads and the Tour Route is increased May 7.  The health and safety of employees, partners, volunteers, visitors, and residents remains the highest priority.",272C50A2-E5D4-F12C-8FEB9E255E847761,fodo,"Park Increases Access to Battlefield Lands, Roads, and Parking",
Park Closure,"Park lands, trails, roads and restrooms are accessible - the Visitor Center remains temporarily closed.",27488680-0473-C0CB-1AB319436F943A39,fodo,"Park Lands, Roads, Trails & Restrooms Are Accessible - Facilities Remain Temporarily Closed",
Information,Visitors should be prepared for road work in various areas of the park between the dates of May 5 - May 15.  Please be observant for and follow directional signage or instructions during this time.  Safety First.,275C0CD4-CB7D-E22F-24A6BDBDA4580836,fodo,Road Work of Park Road and Parking Lots,
Information,The picnic area is closed for renovation and landscaping.,5F6C4D16-D22E-B8C8-C75C087E694A18AC,fodo,Picnic Area Closed for Renovation and Landscaping,
Park Closure,"Following guidance from the CDC and public health officials, some National Capital Parks-East sites are open to walk in visitation. Playgrounds, restrooms, and other facilities remain temporarily closed. Please visit safely. Click MORE for details.",5754CBD7-9E7B-7CE8-896C2FAED5EA5F70,fodu,National Capital Parks-East Operations Modified as Part of COVID 19 Response,https://www.nps.gov/nace/planyourvisit/conditions.htm
Park Closure,"Fort Foote Park is open to walk in visitation. Vehicular access will remain temporarily closed. Please visit safely and respectfully of park resources, community neighbors, and other visitors. Please click MORE for details.",ECE9B890-D8E3-2AD4-FC963A23E74D0D3A,fofo,Fort Foote Park Operations Modified as Part of COVID 19 Response,https://www.nps.gov/fofo/learn/management/lawsandpolicies.htm
Caution,"The park will open the grounds including access to trails, townsite, and dock effective May 23, 2020. Restroom and Visitor Center facilities will remain closed and programming is discontinued until further notice.",6880F7B6-EBA3-4476-2D48E8F3D1E37584,fofr,Increase in recreational access to park grounds,
Information,The NPS is closely monitoring the situation related to COVID-19. Link: https://www.nps.gov/coronavirus,26B5B1B9-A308-EA6C-A91D36BDEE25DAD8,fofr,novel Coronavirus (COVID-19) updates,https://www.nps.gov/coronavirus
Park Closure,"Following guidance from the CDC and recommendations after consultation with NPS Public Health Service officers: Old Bedlam, some restrooms, grounds, trails, and limited visitor services are open. Visitor Center and most historic buildings remain closed.",8AAC0AE9-C124-7C56-1469AD82E2940BDF,fola,Old Bedlam and Limited Visitor Services Reopen as of 5/24/2020,https://www.nps.gov/fola/learn/news/increase-recreational-access-to-include-old-bedlam.htm
Park Closure,Fort Larned’s Visitor Center is closed. Some of the Historic Buildings are open for viewing. The park grounds and the History and Nature Trail remain open. Restrooms are only available at the picnic area and the parking lot.,586027FC-DEA5-EDD9-D0D6614A55DACDAD,fols,Visitor Center Closure,https://www.nps.gov/fols/planyourvisit/conditions.htm
Information,"In partnership with St. Johns County, Park beaches have returned normal hours and allowable activities.",5C647B77-A62B-22F1-DD1887499896101B,foma,Park Beaches - Access Restored,
Park Closure,"The park has suspended visitor service operations, including ferry service, visitor center access, and nature trail access.  effective March 17, 2020 in response to the COVID virus outbreak. A reopening date has not been determined at this time. 6/22/20",6379F3A9-0B2B-B6F6-7948672868955983,foma,"Temporarily Publicly Accessible Buildings Closure Until Further Notice as of March 17, 2020",
Information,The ramp is now open to one-way traffic as an exit only. This project was accomplished through a partnership between St. Johns County and the NPS. This will also improve response times for law enforcement and emergency services.,ED9CE7CE-A789-E300-608E980B375C5E6D,foma,Fort Matanzas Beach Ramp Now Open to Vehicular Access,
Information,"For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park",AE561A83-CB37-1FD0-8395E1D4014E2704,fomc,Motorized Recreational Scooters Not Permitted in Park,
Park Closure,"The Fort's visitor center, Star Fort, & restrooms are closed due to health concerns related to COVID-19. The Fort's grounds & parking lot are open for recreational visitors, 9AM-5PM. There are no on-site public programs or visitor services at this time.",C7685A26-B621-5F07-9D27B4953CAC67D9,fomc,"Closure of visitor center, historic Star Fort and restrooms",https://www.nps.gov/fomc/learn/news/june2020increasedaccess.htm
Information,"•     On-site restaurants open for 50% capacity of outside seating 

•     Mellen Street may be closed, impacting vehicular access to Fort Monroe. Please use 
       Mercury Blvd to enter Fort Monroe at this time.",6C6B86A2-BE71-AA3C-DB0B9FA75469B942,fomr,Service and Access Information,
Park Closure,"In response to the COVID-19 virus outbreak,
•	All public programming is suspended
•	Beach access open with some restrictions within CDC distancing guidelines
        Groups less than 10; no amplified sound, coolers, alcohol, tents, shelters, & group sport",3941E643-E786-014C-531E12DFF49390AA,fomr,Park Facility Closure,
